"Samples","ID","Group","FBratio","Bacteroidetes","Firmicutes","dataset_name"
"ERAS6_Dag4opt","ERAS6","Day4",23.6811154374714,0.000920352726590993,0.0217949791615928,"PRJEB20800"
"ERAS6_Dag8opt","ERAS6","Day8",0.184919354129735,0.950533060381982,0.175771959604796,"PRJEB20800"
"ERAS7_Dag0","ERAS7","Day0",1.4791681780757,0.246207921087593,0.364182922062942,"PRJEB20800"
"ERAS7_Dag180","ERAS7","Day180",0.22728925254411,0.533359819280677,0.121226954661367,"PRJEB20800"
"ERAS7_Dag42","ERAS7","Day42",0.137178521901973,0.545559971101622,0.0748391104446034,"PRJEB20800"
"ERAS7_Dag4opt","ERAS7","Day4",1093.76970929485,0.00121362102178317,1.32742191218989,"PRJEB20800"
"ERAS7_Dag8","ERAS7","Day8",0.272883255783453,0.580281397557505,0.158349077036064,"PRJEB20800"
"ERAS8_Dag0","ERAS8","Day0",0.441600386356897,0.40096801930072,0.177067632239958,"PRJEB20800"
"ERAS8_Dag180","ERAS8","Day180",0.41880577461508,0.507720030897604,0.212636080827664,"PRJEB20800"
"ERAS8_Dag42","ERAS8","Day42",0.143033092364193,0.6556413456105,0.0937784091444904,"PRJEB20800"
"ERAS8_Dag8","ERAS8","Day8",0.096702985934651,1.21321035555653,0.117321063949156,"PRJEB20800"
"ERAS9_Dag0","ERAS9","Day0",0.411843161915129,0.299942832447039,0.123529404508768,"PRJEB20800"
"ERAS9_Dag180","ERAS9","Day180",1.782038947976,0.264033487186344,0.470517957735988,"PRJEB20800"
"ERAS9_Dag4","ERAS9","Day4",13.991917406673,0.00588874428772703,0.0823948237028939,"PRJEB20800"
"ERAS9_Dag42","ERAS9","Day42",1.14938966754302,0.276470746850448,0.317772619807807,"PRJEB20800"
"ERAS9_Dag8","ERAS9","Day8",0.286575787250359,0.869048334096507,0.24904821050232,"PRJEB20800"
"158337416.stool1","158337416","stool1",0.542723425925121,0.239816928767391,0.130154265175479,"HMP"
"158337416.stool2","158337416","stool2",0.269734999045291,0.448672445271137,0.121022661596859,"HMP"
"158499257.stool1","158499257","stool1",0.613781659821188,0.251727139568964,0.154505501546679,"HMP"
"158499257.stool2","158499257","stool2",0.217382722848365,0.425653606574548,0.0925297399874023,"HMP"
"158802708.stool1","158802708","stool1",0.303682439842566,0.6112632557686,0.185629916897919,"HMP"
"158802708.stool2","158802708","stool2",0.213722371530693,0.541412747947404,0.115712016468268,"HMP"
"158944319.stool1","158944319","stool1",1.36137389912439,0.115253890263271,0.156903637976963,"HMP"
"158944319.stool2","158944319","stool2",0.288398988806457,0.383540151970102,0.110612591994852,"HMP"
"159207311.stool1","159207311","stool1",1.33347076726582,0.162843647980535,0.217147244216969,"HMP"
"159207311.stool2","159207311","stool2",1.12518219037188,0.241081472676163,0.271260579483844,"HMP"
"159227541.stool1","159227541","stool1",0.0611535941824862,0.46187938433845,0.0282455844310901,"HMP"
"159227541.stool2","159227541","stool2",0.118635325091649,0.343949555036785,0.0408045672769169,"HMP"
"159247771.stool1","159247771","stool1",0.0481629297248975,0.709134718390527,0.0341540056073279,"HMP"
"159247771.stool2","159247771","stool2",0.0306922122499478,0.667510734038996,0.0204873811282433,"HMP"
"159268001.stool1","159268001","stool1",0.300365058552018,0.478052185538217,0.143590172700106,"HMP"
"159268001.stool2","159268001","stool2",0.66680326638322,0.268422739468711,0.178985159449269,"HMP"
"159369152.stool1","159369152","stool1",0.0994087787159608,0.608115566628366,0.0604520257966903,"HMP"
"159369152.stool2","159369152","stool2",0.0329489879623168,0.729929036981808,0.0240504230528591,"HMP"
"159490532.stool1","159490532","stool1",0.0721621410019437,0.499615966370758,0.036053357812069,"HMP"
"159490532.stool2","159490532","stool2",0.191111929521832,0.575274279689512,0.109941777595745,"HMP"
"159510762.stool1","159510762","stool1",0.0312364591037817,0.741350392463431,0.0231571612157565,"HMP"
"159510762.stool2","159510762","stool2",0.154479354106444,0.576062317166475,0.0889897346809384,"HMP"
"159551223.stool1","159551223","stool1",0.197351306090996,0.502508328707331,0.0991706749919952,"HMP"
"159551223.stool2","159551223","stool2",0.196280087287906,0.476179205739828,0.0934644960672993,"HMP"
"159571453.stool1","159571453","stool1",0.0234798435014271,0.456440934343735,0.0107171617060361,"HMP"
"159571453.stool2","159571453","stool2",0.234227876499496,0.200632452479272,0.0469937133011059,"HMP"
"159591683.stool1","159591683","stool1",0.0058720817596606,1.36167114804583,0.00799584431109601,"HMP"
"159591683.stool2","159591683","stool2",0.0176781856397653,1.39521527957387,0.0246648747197438,"HMP"
"159611913.stool1","159611913","stool1",0.381906920744273,0.555384036595248,0.212105007246616,"HMP"
"159611913.stool2","159611913","stool2",0.109585719165609,0.540462568151119,0.0592269792129322,"HMP"
"159753524.stool1","159753524","stool1",2.39652614664535,0.0821142514190455,0.196788950537952,"HMP"
"159753524.stool2","159753524","stool2",0.0504089998818314,0.790928526244255,0.0398699159859837,"HMP"
"159814214.stool1","159814214","stool1",0.0933303670026055,0.692681388981525,0.0646482082495203,"HMP"
"159814214.stool2","159814214","stool2",0.238328352785992,0.600222204494338,0.143049969302713,"HMP"
"160158126.stool1","160158126","stool1",0.0099205779697443,0.778169316529719,0.00771988937829571,"HMP"
"160158126.stool2","160158126","stool2",0.0605432008418588,0.693703503544997,0.0419990305398259,"HMP"
"246515023.stool1","246515023","stool1",0.05012735325083,1.28548317742514,0.0644378693327893,"HMP"
"246515023.stool2","246515023","stool2",0.0118236205122958,1.19227886110421,0.0140970527985283,"HMP"
"604812005.stool1","604812005","stool1",0.165239371796309,0.509655213215782,0.08421510726449,"HMP"
"604812005.stool2","604812005","stool2",0.0464786512527585,0.658880233176415,0.0306238645751428,"HMP"
"638754422.stool1","638754422","stool1",0.2186259624703,0.548645820065257,0.119948220467074,"HMP"
"638754422.stool2","638754422","stool2",0.451704618313214,0.546275885712658,0.246755340449549,"HMP"
"686765762.stool1","686765762","stool1",0.123938702485381,0.504332737345932,0.0625063450875554,"HMP"
"686765762.stool2","686765762","stool2",0.207083524704822,0.41744116166276,0.0864451871139998,"HMP"
"763496533.stool1","763496533","stool1",7.36159894288707,0.0833458676343467,0.613558851071012,"HMP"
"763496533.stool2","763496533","stool2",0.710641504448298,0.391315615299421,0.278085117570492,"HMP"
"763536994.stool1","763536994","stool1",1.44517773467297,0.441922803824605,0.638656996531572,"HMP"
"763536994.stool2","763536994","stool2",4.20114277316961,0.195830754510124,0.822712959074558,"HMP"
"763577454.stool1","763577454","stool1",1.2427323822165,0.384132594027493,0.477374013662789,"HMP"
"763577454.stool2","763577454","stool2",1.84047798198265,0.279723146956746,0.514824293024787,"HMP"
"763678604.stool1","763678604","stool1",0.983371815679497,0.270385874508849,0.265889848349855,"HMP"
"763678604.stool2","763678604","stool2",0.320697305661685,0.47525078280984,0.152411645560722,"HMP"
"763759525.stool1","763759525","stool1",0.0879760502325586,0.944793072461708,0.0831191628022646,"HMP"
"763759525.stool2","763759525","stool2",0.193368806961237,0.83893243413759,0.162223363910272,"HMP"
"763820215.stool1","763820215","stool1",0.405528065302833,0.209092137861955,0.0847927301371918,"HMP"
"763820215.stool2","763820215","stool2",0.314557196363824,0.263598750231806,0.0829168838379249,"HMP"
"763840445.stool1","763840445","stool1",0.271373161418351,0.871629186571099,0.236536767944305,"HMP"
"763840445.stool2","763840445","stool2",1.19465633123419,0.438120227555966,0.523403103691499,"HMP"
"763860675.stool1","763860675","stool1",1.74528524312803,0.135081718065633,0.23575612915633,"HMP"
"763860675.stool2","763860675","stool2",0.402048523981916,0.587993937309826,0.236402094605731,"HMP"
"763901136.stool1","763901136","stool1",3.17394259981664,0.101961554483714,0.323620121319385,"HMP"
"763901136.stool2","763901136","stool2",2.96081864638161,0.139316309690063,0.412490327475415,"HMP"
"763961826.stool1","763961826","stool1",0.112374531860567,0.802594518743181,0.0901911833176222,"HMP"
